user_id,age,gender,country,status,num_of_item
349,12,F,United Kingdom,Shipped,2
420,12,F,Brasil,Shipped,1
501,12,F,China,Shipped,1
501,12,F,China,Shipped,2
1617,12,F,United States,Shipped,1
2624,12,F,United States,Shipped,2
3358,12,F,China,Shipped,1
3458,12,F,France,Shipped,1
3633,12,F,United States,Shipped,2
4294,12,F,China,Shipped,1
4345,12,F,United States,Shipped,1
5269,12,F,Spain,Shipped,1
5618,12,F,United States,Shipped,1
6590,12,F,China,Shipped,2
6921,12,F,United States,Shipped,2
7428,12,F,Brasil,Shipped,1
8574,12,F,China,Shipped,1
9479,12,F,China,Shipped,1
11429,12,F,United States,Shipped,1
11429,12,F,United States,Shipped,2
11685,12,F,United States,Shipped,1
12084,12,F,Brasil,Shipped,1
12194,12,F,China,Shipped,1
12547,12,F,China,Shipped,1
12642,12,F,Spain,Shipped,1
13859,12,F,Poland,Shipped,2
17203,12,F,Brasil,Shipped,1
17509,12,F,China,Shipped,1
18073,12,F,France,Shipped,1
19326,12,F,France,Shipped,1
19513,12,F,China,Shipped,1
19876,12,F,China,Shipped,1
19876,12,F,China,Shipped,1
21075,12,F,United States,Shipped,1
22062,12,F,China,Shipped,1
22349,12,F,China,Shipped,1
22435,12,F,Germany,Shipped,2
23528,12,F,Belgium,Shipped,1
23528,12,F,Belgium,Shipped,2
24480,12,F,United Kingdom,Shipped,4
24518,12,F,Japan,Shipped,1
25105,12,F,United States,Shipped,1
25282,12,F,Spain,Shipped,1
25282,12,F,Spain,Shipped,1
25499,12,F,China,Shipped,1
26013,12,F,Brasil,Shipped,1
26028,12,F,Brasil,Shipped,2
26084,12,F,China,Shipped,1
26739,12,F,United Kingdom,Shipped,2
27161,12,F,South Korea,Shipped,2
27161,12,F,South Korea,Shipped,1
28377,12,F,Brasil,Shipped,3
29002,12,F,China,Shipped,1
29002,12,F,China,Shipped,2
29218,12,F,Belgium,Shipped,1
29820,12,F,China,Shipped,1
29893,12,F,Brasil,Shipped,1
30797,12,F,Germany,Shipped,1
30864,12,F,South Korea,Shipped,1
30931,12,F,China,Shipped,1
31478,12,F,China,Shipped,1
